replication_4;trust1;trust2;trust3;trust4;trust5;value1;value2;value3;value4;knowledge1;knowledge2;gender;gender_3_TEXT;age;english;english_native;race
80;3;5;5;2;3;4;4;4;2;2;;1;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;1;7;7;1;1;5;5;5;5;2;;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
75;2;6;6;2;3;4;4;5;4;2;;2;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
45;5;6;4;3;4;4;5;3;2;2;;1;Deleted to protect anonymity;19;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
66;1;7;7;1;1;4;5;5;5;2;;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;1;6;7;5;1;5;5;5;4;2;;2;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;4;5;5;4;3;3;4;4;3;2;;2;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
14;2;6;5;2;2;4;4;3;4;1;1;2;Deleted to protect anonymity;50;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
10;7;1;1;5;5;1;2;1;2;2;;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
75;3;5;5;4;4;4;4;4;5;2;;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
20;6;3;3;4;5;2;2;2;3;2;;1;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
65;3;6;6;2;2;4;4;3;2;2;;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
65;3;5;7;1;3;5;4;4;3;1;2;2;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;3;5;4;4;3;3;4;3;3;2;;1;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
29;1;5;6;6;2;4;5;4;4;2;;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
79;3;3;3;3;3;3;3;3;3;2;;2;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;4;4;3;4;5;3;4;3;2;2;;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
20;2;5;5;1;1;4;5;5;5;2;;1;Deleted to protect anonymity;20;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;2;5;5;2;2;3;4;4;4;2;;1;Deleted to protect anonymity;45;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
73;3;6;6;4;3;4;4;3;2;2;;1;Deleted to protect anonymity;50;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
60;2;6;7;1;1;4;5;4;3;2;;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
50;5;3;3;5;5;2;3;3;2;2;;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
62;2;6;7;1;1;4;5;4;4;2;;2;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;1;6;7;1;1;5;5;5;4;2;;2;Deleted to protect anonymity;56;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
62;5;4;6;5;5;4;3;4;3;2;;2;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
49;4;3;4;5;4;2;3;3;1;2;;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
31;3;3;1;7;7;5;3;3;1;2;;2;Deleted to protect anonymity;42;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
92;1;6;6;1;1;4;5;4;5;2;;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
92;2;6;6;6;2;4;4;5;3;2;;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
67;2;6;5;3;2;4;5;4;3;2;;1;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
28;1;7;7;1;1;5;5;5;5;2;;1;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
29;3;4;4;2;3;3;4;4;3;1;2;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;2;7;6;2;2;5;5;4;4;2;;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
87;2;6;7;2;1;4;4;3;3;2;;2;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;1;6;7;1;1;4;5;5;4;2;;2;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
60;2;5;5;3;2;4;5;4;3;2;;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
43;2;6;6;2;2;4;5;3;4;2;;2;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;2;6;5;3;2;4;5;3;3;2;;1;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
81;5;4;5;4;5;3;3;2;2;2;;1;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;1;6;6;6;2;4;4;3;3;2;;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;4;3;6;4;3;5;4;4;4;2;;1;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
99;1;7;7;1;1;5;5;3;4;2;;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;2;6;6;2;2;4;4;5;4;2;;2;Deleted to protect anonymity;49;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;1;1;7;1;1;3;5;2;2;2;;1;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;3;2;3;3;4;2;2;3;3;2;;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
66;5;3;5;4;5;3;3;4;3;2;;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
61;2;5;5;3;2;4;4;3;3;2;;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
90;2;5;5;3;2;3;4;4;3;2;;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
57;3;6;6;2;2;5;5;5;4;2;;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
73;5;6;5;6;3;4;2;3;4;2;;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
85;3;5;5;4;5;2;4;5;3;2;;1;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
78;2;6;5;4;2;5;4;3;3;1;2;2;Deleted to protect anonymity;21;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
65;4;4;5;2;6;3;4;2;4;2;;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
90;1;7;7;1;1;5;5;3;1;2;;2;Deleted to protect anonymity;21;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
55;2;2;6;2;2;4;4;3;2;2;;2;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;4;5;5;4;4;4;4;3;3;2;;1;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;3;5;4;2;2;4;4;3;2;1;2;1;Deleted to protect anonymity;53;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
63;2;5;6;4;2;4;4;4;4;2;;1;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;1;7;6;1;1;5;5;5;4;2;;2;Deleted to protect anonymity;44;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
60;2;6;6;2;2;4;4;4;4;2;;2;Deleted to protect anonymity;48;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
95;1;7;7;1;1;5;5;5;5;2;;2;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
65;3;5;5;4;5;4;4;3;3;2;;1;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
57;5;5;6;2;3;4;4;3;2;2;;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
65;1;6;6;1;1;4;5;4;3;2;;2;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
60;2;6;5;1;1;4;5;4;3;2;;2;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;2;6;6;2;2;4;4;3;3;2;;2;Deleted to protect anonymity;44;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;5;4;7;5;2;5;5;5;5;2;;1;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
61;3;5;4;3;3;4;4;4;4;2;;2;Deleted to protect anonymity;55;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
20;3;5;3;3;5;3;4;5;4;1;2;2;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;4;5;4;5;3;4;3;3;4;2;;1;Deleted to protect anonymity;20;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
61;5;4;2;7;5;4;2;3;2;2;;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
;;;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
29;5;4;5;4;5;2;2;3;2;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
;;;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
50;;;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;5;6;4;4;2;3;5;5;3;2;;1;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
43;2;6;6;6;4;3;3;3;3;2;;1;Deleted to protect anonymity;19;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
;;;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
69;2;6;6;4;4;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
30;3;4;2;3;3;3;3;2;2;2;;1;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
;;;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
60;3;4;5;3;2;4;4;4;3;2;;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
63;3;5;5;2;5;3;3;4;3;2;;2;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
45;5;4;4;5;5;3;3;3;3;2;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
65;3;5;5;4;3;2;4;4;3;2;;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;4;4;5;3;2;3;3;4;3;2;;2;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
61;2;6;6;2;2;4;4;4;4;2;;2;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
71;2;7;6;1;1;3;5;4;5;2;;2;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
85;2;3;3;3;3;2;2;2;2;2;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
;;;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
68;2;5;6;2;2;4;5;4;4;2;;2;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
;;;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
76;2;5;6;2;2;4;4;4;2;2;;2;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
