"";"replication_rate";"trust1";"trust2";"trust3";"trust4";"trust5";"value1";"value2";"value3";"value4";"knowledge1";"knowledge2";"gender";"gender_3_TEXT";"age";"english";"english_native";"race";"mean_trust";"mean_value"
"152";76;7;6;5;6;6;4;4;3;3;2;NA;1;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,5
"153";75;6;6;7;6;7;4;5;5;4;2;NA;1;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;4,5
"154";40;5;4;5;5;4;4;5;4;4;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;4,25
"155";33;7;7;7;7;7;5;5;5;3;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,5
"156";35;6;5;6;5;3;4;5;4;4;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;4,25
"157";0;5;3;2;3;3;3;2;3;5;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,2;3,25
"158";50;6;3;4;6;6;4;4;5;3;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;4
"159";40;7;7;7;7;7;5;5;4;2;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4
"160";90;7;6;6;6;6;4;5;4;4;2;NA;2;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4,25
"161";80;6;4;5;5;5;4;3;4;4;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,75
"162";73;5;5;6;6;3;4;4;4;4;2;NA;1;"Deleted to protect anonymity";42;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;4
"163";70;6;5;6;6;6;5;5;5;5;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;5
"164";10;1;1;1;1;1;1;1;1;4;2;NA;1;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";1;1,75
"165";60;7;7;7;7;7;5;5;5;5;2;NA;2;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"166";41;4;5;5;5;4;4;4;3;2;2;NA;1;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,25
"167";75;5;5;6;6;6;4;4;3;4;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;3,75
"168";50;2;3;5;5;5;3;2;2;1;2;NA;2;"Deleted to protect anonymity";67;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;2
"169";70;6;6;5;6;6;4;4;4;3;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,75
"170";40;5;3;5;5;5;4;4;3;4;2;NA;2;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,75
"171";75;6;6;6;6;6;4;4;3;2;2;NA;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,25
"172";19;1;2;1;4;1;2;2;2;3;1;2;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";1,8;2,25
"173";80;6;6;6;5;6;4;3;4;2;2;NA;2;"Deleted to protect anonymity";51;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,25
"174";61;7;7;7;7;7;5;5;4;2;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4
"175";20;5;4;4;4;4;3;3;3;3;2;NA;2;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;3
"176";70;5;4;4;5;5;3;3;1;2;2;NA;1;"Deleted to protect anonymity";46;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;2,25
"177";40;6;5;5;5;4;4;4;4;3;2;NA;2;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,75
"178";90;7;6;6;7;6;5;4;5;5;2;NA;1;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;4,75
"179";30;5;5;6;5;5;4;3;3;3;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,25
"180";60;3;3;3;4;3;3;2;2;2;2;NA;1;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,2;2,25
"181";90;6;6;6;6;5;4;5;3;3;2;NA;1;"Deleted to protect anonymity";19;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,75
"182";87;3;3;3;3;3;3;4;2;4;2;NA;2;"Deleted to protect anonymity";42;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3;3,25
"183";40;5;5;5;6;7;4;4;5;1;2;NA;1;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;3,5
"184";0;5;4;2;6;6;3;2;4;3;2;NA;2;"Deleted to protect anonymity";21;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3
"185";80;5;5;5;6;5;4;4;4;2;2;NA;1;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,5
"186";80;7;7;7;7;7;5;5;5;5;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"187";75;6;6;6;6;5;4;4;5;4;2;NA;2;"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4,25
"188";45;3;6;4;5;4;4;5;3;2;2;NA;1;"Deleted to protect anonymity";19;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3,5
"189";66;7;7;7;7;7;4;5;5;5;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,75
"190";80;7;6;7;3;7;5;5;5;4;2;NA;2;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4,75
"191";100;4;5;5;4;5;3;4;4;3;2;NA;2;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,5
"192";14;6;6;5;6;6;4;4;3;4;1;1;2;"Deleted to protect anonymity";50;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,75
"193";10;1;1;1;3;3;1;2;1;2;2;NA;1;"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";1,8;1,5
"194";75;5;5;5;4;4;4;4;4;5;2;NA;2;"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;4,25
"195";20;2;3;3;4;3;2;2;2;3;2;NA;1;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3;2,25
"196";65;5;6;6;6;6;4;4;3;2;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,25
"197";65;5;5;7;7;5;5;4;4;3;1;2;2;"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4
"198";100;5;5;4;4;5;3;4;3;3;2;NA;1;"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,25
"199";29;7;5;6;2;6;4;5;4;4;2;NA;1;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;4,25
"200";79;5;3;3;5;5;3;3;3;3;2;NA;2;"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;3
"201";40;4;4;3;4;3;3;4;3;2;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,6;3
"202";20;6;5;5;7;7;4;5;5;5;2;NA;1;"Deleted to protect anonymity";20;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4,75
"203";70;6;5;5;6;6;3;4;4;4;2;NA;1;"Deleted to protect anonymity";45;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;3,75
"204";73;5;6;6;4;5;4;4;3;2;2;NA;1;"Deleted to protect anonymity";50;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,25
"205";60;6;6;7;7;7;4;5;4;3;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4
"206";50;3;3;3;3;3;2;3;3;2;2;NA;1;"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3;2,5
"207";62;6;6;7;7;7;4;5;4;4;2;NA;2;"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4,25
"208";80;7;6;7;7;7;5;5;5;4;2;NA;2;"Deleted to protect anonymity";56;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,8;4,75
"209";62;3;4;6;3;3;4;3;4;3;2;NA;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,8;3,5
"210";49;4;3;4;3;4;2;3;3;1;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,6;2,25
"211";31;5;3;1;1;1;5;3;3;1;2;NA;2;"Deleted to protect anonymity";42;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2,2;3
"212";92;7;6;6;7;7;4;5;4;5;2;NA;2;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4,5
"213";92;6;6;6;2;6;4;4;5;3;2;NA;2;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;4
"214";67;6;6;5;5;6;4;5;4;3;2;NA;1;"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;4
"215";28;7;7;7;7;7;5;5;5;5;2;NA;1;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"216";29;5;4;4;6;5;3;4;4;3;1;2;2;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,5
"217";100;6;7;6;6;6;5;5;4;4;2;NA;1;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4,5
"218";87;6;6;7;6;7;4;4;3;3;2;NA;2;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;3,5
"219";40;7;6;7;7;7;4;5;5;4;2;NA;2;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,8;4,5
"220";60;6;5;5;5;6;4;5;4;3;2;NA;1;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;4
"221";43;6;6;6;6;6;4;5;3;4;2;NA;2;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4
"222";80;6;6;5;5;6;4;5;3;3;2;NA;1;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;3,75
"223";81;3;4;5;4;3;3;3;2;2;2;NA;1;"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,8;2,5
"224";70;7;6;6;2;6;4;4;3;3;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;3,5
"225";80;4;3;6;4;5;5;4;4;4;2;NA;1;"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;4,25
"226";99;7;7;7;7;7;5;5;3;4;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,25
"227";100;6;6;6;6;6;4;4;5;4;2;NA;2;"Deleted to protect anonymity";49;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4,25
"228";100;7;1;7;7;7;3;5;2;2;2;NA;1;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3
"229";80;5;2;3;5;4;2;2;3;3;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,8;2,5
"230";66;3;3;5;4;3;3;3;4;3;2;NA;1;"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,6;3,25
"231";61;6;5;5;5;6;4;4;3;3;2;NA;2;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;3,5
"232";90;6;5;5;5;6;3;4;4;3;2;NA;2;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;3,5
"233";57;5;6;6;6;6;5;5;5;4;2;NA;1;"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4,75
"234";73;3;6;5;2;5;4;2;3;4;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;3,25
"235";85;5;5;5;4;3;2;4;5;3;2;NA;1;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3,5
"236";78;6;6;5;4;6;5;4;3;3;1;2;2;"Deleted to protect anonymity";21;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;3,75
"237";65;4;4;5;6;2;3;4;2;4;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;3,25
"238";90;7;7;7;7;7;5;5;3;1;2;NA;2;"Deleted to protect anonymity";21;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;3,5
"239";55;6;2;6;6;6;4;4;3;2;2;NA;2;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,25
"240";70;4;5;5;4;4;4;4;3;3;2;NA;1;"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3,5
"241";40;5;5;4;6;6;4;4;3;2;1;2;1;"Deleted to protect anonymity";53;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,25
"242";63;6;5;6;4;6;4;4;4;4;2;NA;1;"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;4
"243";80;7;7;6;7;7;5;5;5;4;2;NA;2;"Deleted to protect anonymity";44;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,8;4,75
"244";60;6;6;6;6;6;4;4;4;4;2;NA;2;"Deleted to protect anonymity";48;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4
"245";95;7;7;7;7;7;5;5;5;5;2;NA;2;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"246";65;5;5;5;4;3;4;4;3;3;2;NA;1;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3,5
"247";57;3;5;6;6;5;4;4;3;2;2;NA;1;"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,25
"248";65;7;6;6;7;7;4;5;4;3;2;NA;2;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4
"249";60;6;6;5;7;7;4;5;4;3;2;NA;2;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4
"250";80;6;6;6;6;6;4;4;3;3;2;NA;2;"Deleted to protect anonymity";44;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,5
"251";100;3;4;7;3;6;5;5;5;5;2;NA;1;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;5
"252";61;5;5;4;5;5;4;4;4;4;2;NA;2;"Deleted to protect anonymity";55;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;4
"253";20;5;5;3;5;3;3;4;5;4;1;2;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;4
"254";80;4;5;4;3;5;4;3;3;4;2;NA;1;"Deleted to protect anonymity";20;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;3,5
"255";61;3;4;2;1;3;4;2;3;2;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2,6;2,75
"256";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";NA;NA
"257";29;3;4;5;4;3;2;2;3;2;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,8;2,25
"258";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";NA;NA
"259";50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";NA;NA
"260";100;3;6;4;4;6;3;5;5;3;2;NA;1;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;4
"261";43;6;6;6;2;4;3;3;3;3;2;NA;1;"Deleted to protect anonymity";19;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3
"262";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";NA;NA
"263";69;6;6;6;4;4;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;NA
"264";30;5;4;2;5;5;3;3;2;2;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;2,5
"265";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";NA;NA
"266";60;5;4;5;5;6;4;4;4;3;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,75
"267";63;5;5;5;6;3;3;3;4;3;2;NA;2;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,25
"268";45;3;4;4;3;3;3;3;3;3;2;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;3
"269";65;5;5;5;4;5;2;4;4;3;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,25
"270";40;4;4;5;5;6;3;3;4;3;2;NA;2;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,25
"271";61;6;6;6;6;6;4;4;4;4;2;NA;2;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4
"272";71;6;7;6;7;7;3;5;4;5;2;NA;2;"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4,25
"273";85;6;3;3;5;5;2;2;2;2;2;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;2
"274";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";NA;NA
"275";68;6;5;6;6;6;4;5;4;4;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4,25
"276";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";NA;NA
"277";76;6;5;6;6;6;4;4;4;2;2;NA;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,5
